Animal_ID,Rack,Tank,DOB,Cohort,Environmental_Condition,Sex,Lineage,Transgenic_Line,Experimental_Holds,Species,Protocol_Number,Experimental_History,RFID,Date_of_Terra,Date_of_Reaqua,Diet
SAL_001,Rack 12,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_002,Rack 12,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_003,Rack 12,C4,,Reptile Rapture - Yellow,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_004,Rack 12,C4,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_005,Rack 12,C4,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_006,Rack 12,C4,1/21/20,Reptile Rapture - Yellow,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_007,Rack 3,C4,1/21/20,Reptiles & Critters ,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_008,Rack 3,C4,1/21/20,Reptiles & Critters ,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_009,Rack 12,A5,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_010,Rack 12,A5,6/2/20,Jungle Bobs,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_011,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_012,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_013,Rack 12,B4,7/5/20,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_014,Rack 12,A4,7/9/20,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Craniotomy,,,,
SAL_015,Rack 12,A4,7/9/20,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,Flashtag,,,,
SAL_016,Rack 12,A2,7/5/20,,Aquatic,Male,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_017,Rack 12,A2,7/5/20,,Aquatic,Male,,WT,,Pleurodeles waltl,AABL1550,,,,,
SAL_018,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_019,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_020,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_021,Rack 10,A1,9/20/20,Terra A,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/28/22,,Gummy Schedule
SAL_022,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_023,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_024,Rack 11,B4,9/24/20,Terra S,Terrestrial,Unknown,,WT,AMMM implant testing,Pleurodeles waltl,AABL1550,,,2/9/23,,Gummy Schedule
SAL_025,Rack 12,D4,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_026,Rack 12,D4,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_027,Rack 12,D4,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_028,Rack 12,D4,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_029,Rack 12,D4,11/30/20,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_030,Rack 2,A1,3/23/21 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_031,Rack 2,A1,3/23/21 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_032,Rack 2,A2,11/28/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_033,Rack 2,A2,11/28/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_034,Rack 2,A3,3/7/21 0:00,,Aquatic,Unknown,,mDlx-GFP,,Pleurodeles waltl,AABL1550,with signal,,,,
SAL_035,Rack 2,B5,11/18/20 0:00,F0,Aquatic,Unknown,,hsyn-Cre,,Pleurodeles waltl,AABF2564,genotyped +,,,,
SAL_036,Rack 3,B4,9/24/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Previously known as Mother of All GCaMPs,,,,
SAL_037,Rack 3,B3,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_038,Rack 3,C4,11/18/20 0:00,F0,Aquatic,Female,,hsyn-Cre,,Pleurodeles waltl,AABF2564,,,,,
SAL_039,Rack 2,B1,11/19/20 0:00,F0,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,good signal,,,,
SAL_040,Rack 2,B1,7/14/21 0:00,F0,Aquatic,Unknown,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,good signal,Leucistic,,,
SAL_041,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_042,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_043,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_044,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_045,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_046,Rack 2,D4,11/11/21 0:00,,Aquatic,Unknown,,WT,LX ,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_047,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_048,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_049,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_050,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_051,Rack 2,D1,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 41,,,,
SAL_052,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_053,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_054,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_055,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_056,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD EdU @ St 50,,,,
SAL_057,Rack 9,C3,1/3/25,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_058,Rack 9,C3,1/3/25,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_059,Rack 9,C1,12/10/24,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_060,Rack 2,D2,11/10/21 0:00,,Aquatic,Unknown,,WT,AD,Pleurodeles waltl,AABF2564,AD - EdU @ St 50,,,,
SAL_061,Rack 10,A2,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_062,Rack 10,A2,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_063,Rack 10,A2,11/11/21 0:00,Terra B,Terrestrial,Unknown,,WT,AMMM,Pleurodeles waltl,AABL1550,"Odor conditioning, other tests, olfnav",,10/7/22 0:00,,
SAL_064,Rack 12,A1,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,Mother of 12/10/23,,,,
SAL_065,Rack 12,B1,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_066,Rack 12,B1,11/11/21 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_067,Rack 12,C1,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_068,Rack 12,C1,3/8/21 0:00,F0,Aquatic,Male,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,,,,,
SAL_069,Rack 12,C1,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Breeders,,,,
SAL_070,Rack 12,C1,11/19/20 0:00,F0,Aquatic,Female,,hsyn-GCaMP6s,,Pleurodeles waltl,AABL1550,Breeders,,,,
SAL_071,Rack 8,B5,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_072,Rack 8,B5,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_073,Rack 8,B5,11/4/21 0:00,previous Terra D,Reaqua,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_074,Rack 3,A1,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_075,Rack 3,A1,2/3/22 0:00,,Aquatic,Unknown,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_076,Rack 3,A3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_077,Rack 3,A3,2/3/22 0:00,,Aquatic,Female,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_078,Rack 3,A3,7/5/20 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_079,Rack 3,A3,7/5/20 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_080,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_081,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_082,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_083,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_084,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_085,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_086,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_087,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_088,Rack 3,B1,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,,,,
SAL_089,Rack 2,C4,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_090,Rack 2,C4,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_091,Rack 2,C4,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_092,Rack 2,C4,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_093,Rack 2,C4,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,LX viral injections,,,,
SAL_094,Rack 2,D5,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_095,Rack 2,D5,2/23/22 0:00,,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABF2564,,,,,
SAL_096,Rack 12,A3,2/23/22 0:00,,Aquatic,Male,,WT,Breeding,Pleurodeles waltl,AABF2564,,EED,,,
SAL_098,Rack 10,A3,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_099,Rack 10,A3,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_100,Rack 10,A3,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_101,Rack 10,A3,2/23/22 0:00,Terra C,Terrestrial,Unknown,,WT,JW Histology - matched on R8,Pleurodeles waltl,AABL1550,,,6/20/23 0:00,,
SAL_102,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_103,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_104,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_105,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_106,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_107,Rack 11,A1,2/23/22 0:00,Terra L,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_108,Rack 11,A3,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_109,Rack 11,A3,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_110,Rack 11,A3,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_111,Rack 11,A3,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_112,Rack 11,A3,2/23/22 0:00,Terra N,Terrestrial,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,4/23/25 0:00,,
SAL_113,Rack 8,C2,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_114,Rack 8,C2,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_115,Rack 8,C2,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
SAL_116,Rack 8,C2,2/23/22 0:00,Aqua H/K,Aquatic,Unknown,,WT,,Pleurodeles waltl,AABL1550,,,,,Gummy Schedule
